Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:27:15,05-03-2024 12:27:15,0.106s,PASSED
,,,,,,,
Test Cases/Test-Web/Test_Google9,Chrome 122.0.0.0,,,05-03-2024 12:27:15,05-03-2024 12:27:19,3.283s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:27:16,05-03-2024 12:27:16,0.549s,PASSED
"navigateToUrl(""http://localhost/Python-and-Capture-Screen-Short/Customer/Customer.html"")",Chrome 122.0.0.0,,,05-03-2024 12:27:16,05-03-2024 12:27:16,0.056s,PASSED
"setText(findTestObject(""Page_CustomerDetail Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:27:16,05-03-2024 12:27:17,0.613s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 12:27:17,05-03-2024 12:27:17,0.548s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Age_age""), ""151"")",Chrome 122.0.0.0,,,05-03-2024 12:27:17,05-03-2024 12:27:18,0.550s,PASSED
"click(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_submit""))",Chrome 122.0.0.0,,,05-03-2024 12:27:18,05-03-2024 12:27:18,0.284s,PASSED
"verifyElementText(findTestObject(""KatalonTest/Page_CustomerDetail Form/Page_CustomerDetail Form/p_First Name""), ""First Name: johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:27:18,05-03-2024 12:27:18,0.278s,PASSED
"takeFullPageScreenshot(""IMG/Screen9.png"")",Chrome 122.0.0.0,,,05-03-2024 12:27:18,05-03-2024 12:27:19,0.262s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:27:19,05-03-2024 12:27:19,0.091s,PASSED
